Designator,Comment,Parameter 1,nBlocksParameter1,Parameter 2,nBlocksParameter2,Parameter 3,nBlocksParameter3,Parameter 4,nBlocksParameter4,Parameter 5,nBlocksParameter5,Parameter 6,nBlocksParameter6,Parameter 7,nBlocksParameter7,ComponentLink1URL,nBlocksParameter8,Parameter 9,nBlocksParameter9,nBlocksParameter10,nBlocksParameter11,nBlocksParameter12,nBlocksParameter13,nBlocksParameter14,nBlocksParameter15,nBlocksParameter16,nBlocksParameter17,nBlocksParameter18,nBlocksParameter19,nBlocksParameter20,nBlocksParameter21,nBlocksParameter22,nBlocksParameter23,nBlocksParameter24

"N1","Ticker","","1000","","","","","","","","","","","","","https://github.com/nBlocksStudioNodes/nblocks_ticker","","","","","","","","","","","","","","","","","",""
"N2","USonicEcho","pinEcho","p17","coefficient","58","","","","","","","","","","","https://github.com/nBlocksStudioNodes/nblocks_usonicecho","","","","","","","","","","","","","","","","","",""
"N3","StringFormat","formatString","""Distance = %d cm\n ""","","","","","","","","","","","","","https://github.com/nBlocksStudioNodes/nblocks_stringformat","","","","","","","","","","","","","","","","","",""
"N4","StringSerial","pinTX","USBTX","pinRX","USBRX","","","","","","","","","","","https://github.com/nBlocksStudioNodes/nblocks_stringserial","","","","","","","","","","","","","","","","","",""
"N5","StringFormat","formatString","""Distance=%d cm \r ""","","","","","","","","","","","","","https://github.com/nBlocksStudioNodes/nblocks_stringformat","","","","","","","","","","","","","","","","","",""
"N6","OLEDisplay","pinSDA","p9","pinSCL","p10","pinRST","p27","","","","","","","","","https://github.com/nBlocksStudioNodes/nblocks_oledisplay","","","","","","","","","","","","","","","","","",""
